AT1G06620,0.9,1,0.8,
AT4G22890,320,376,89,
AT2G34630,21,17,20,
AT2G46660,1,2,2,
AT2G25590,3,14,3,
AT5G25130,10,6,5,
AT2G32280,1,1,1,
AT3G15020,17,10,9,
AT5G01650,46,33,18,
AT5G05570,7,9,6,
AT5G02290,12,19,14,
AT3G10210,7,7,5,
AT5G06000,4,2,9,
AT5G64620,44,22,4,
AT1G75280,55,46,30,
AT1G19850,7,9,6,
AT3G56710,5,3,18,
AT1G30610,16,13,27,
AT3G05870,3,2,3,
AT3G01510,17,8,26,
AT4G33890,7,10,27,
AT1G74880,138,119,113,
AT3G18420,32,19,64,
AT3G14770,9,23,2,
AT4G12460,6,8,5,
AT3G13740,29,23,45,
AT1G75420,5,9,16,
AT1G70410,84,70,60,
AT5G53140,47,52,72,
AT4G13730,15,15,10,
AT4G20130,29,44,34,
AT5G61810,18,12,30,
AT4G28440,39,31,66,
AT4G30270,37,93,10,
AT2G33620,14,13,15,
AT2G38630,8,6,5,
AT2G29590,10,11,25,
AT5G11340,29,14,18,
AT2G31710,12,10,11,
AT1G36310,18,16,35,
AT3G02090,132,96,113,
AT1G74360,2,1,0.6,
AT2G26810,5,5,7,
AT2G44360,21,17,51,
AT5G11690,10,9,9,
AT2G18440,39,100,119,
AT4G36945,4,4,4,
AT3G19460,9,12,4,
AT4G36940,13,13,10,
AT4G23440,3,5,8,
AT2G40840,92,67,109,
AT3G07110,154,88,110,
AT1G72810,8,7,10,
AT4G20860,6,21,3,
AT2G41460,5,5,8,
AT1G63810,9,6,11,
AT2G40590,92,37,88,
AT1G68790,18,21,73,
AT1G68795,1,0.3,0.9,
AT2G45590,13,18,24,
AT2G39270,15,10,23,
AT4G09750,9,9,4,
AT4G36360,38,34,44,
AT2G19710,3,4,5,
AT2G37380,3,5,8,
AT1G76240,16,13,2,
AT5G10560,25,28,28,
AT3G08580,728,398,292,
AT4G33700,14,9,28,
AT2G35710,0.8,1,0.2,
AT5G17690,9,9,7,
AT5G39471,0.9,0.7,0.2,
AT1G67310,8,18,12,
AT4G22790,2,2,0.3,
AT1G64660,7,12,2,
AT2G40330,3,3,0.4,
AT4G03180,15,12,43,
AT2G48100,13,17,14,
AT3G07800,7,13,22,
AT4G02850,21,9,0.1,
AT1G16705,0.6,0.3,0.2,
AT1G16700,37,30,40,
AT1G69440,3,2,4,
AT1G78940,1,0.9,0.8,
AT3G21870,8,19,3,
AT1G11730,2,1,3,
AT1G31200,1,2,2,
AT4G03450,1,0.1,0.2,
AT1G48500,0.4,0.5,0.1,
AT1G71730,24,26,42,
AT5G53970,12,31,4,
AT4G02580,106,72,114,
AT1G49450,0.3,1,0.7,
AT5G55480,14,15,5,
AT2G46270,2,6,2,
AT5G16120,8,25,15,
AT1G45170,12,11,6,
AT4G29270,3,2,1,
AT2G05830,27,31,11,
AT1G10460,0.5,0.2,0.6,
AT5G54280,5,15,9,
AT3G20475,0.2,0.9,0.3,
AT3G20470,3,21,0.6,
AT4G18340,2,7,0.7,
AT5G08650,83,91,100,
AT5G16780,11,15,38,
AT5G19570,8,6,4,
AT5G54750,23,25,24,
AT1G01620,163,89,300,
AT2G45770,40,40,119,
AT1G46480,3,2,9,
AT5G15470,10,8,12,
AT4G38730,5,7,4,
AT4G33280,0.4,0.3,0.2,
AT5G14780,25,113,62,
AT3G25560,6,8,4,
AT5G16870,10,11,20,
AT3G29410,0.3,0.4,0.1,
AT5G15780,62,110,18,
AT1G62960,20,35,9,
AT2G18876,8,10,18,
AT3G04260,44,45,128,
AT3G16140,507,393,125,
AT4G10110,12,14,5,
AT4G11640,5,4,2,
AT3G57450,4,9,13,
AT3G63250,7,10,12,
AT2G45190,30,41,4,
AT3G11490,12,15,20,
