aap-1,6,77,56,15,22,22,33,15,24,12,6,34,31,28,9,18,21,24,31,33,31,6,37,9,31
aat-1,0.8,0.3,15,8,76,0.2,18,15,9,13,5,3,4,83,2,30,3,34,3,6,4,34,15,8,19
aat-2,23,1,6,8,46,3,24,12,7,18,4,2,3,52,3,38,7,31,4,10,6,20,40,6,19
aat-3,29,3,37,32,201,6,80,23,24,11,3,8,15,235,38,114,42,268,4,20,31,63,119,6,62
aat-4,3,4,0.1,0.3,8,8,7,2,0.1,5,0.8,3,2,4,9,2,0.4,0.4,4,1,,,,,
aat-5,24,0.7,12,20,11,0.1,25,14,18,11,3,2,14,3,0.1,21,0.5,1,3,21,0.9,6,2,7,8
aat-6,0.3,2,0.3,0.8,6,2,15,4,2,0.5,0.1,4,0.2,6,5,0.2,0.5,7,0.5,,,,,,
aat-7,0.8,1,2,0.6,0.2,4,0.1,1,4,3,,,,,,,,,,,,,,,
aat-8,0.1,4,1,0.5,2,0.4,1,0.2,1,0.4,0.1,4,0.1,0.4,0.2,2,0.2,1,2,0.5,,,,,
aat-9,6,22,7,3,19,19,15,10,12,12,5,30,15,13,4,20,16,13,18,13,37,7,29,6,30
abf-1,2,0.7,0.6,0.4,0.8,0.7,0.9,3,0.3,0.1,0.1,0.5,1,0.3,3,0.9,0.3,0.4,200,0.6,,,,,
abf-2,9,0.2,27,14,6,34,1,2,7,66,0.4,0.1,0.1,2,42,9,,,,,,,,,
abf-3,0.3,0.2,0.6,0.2,,,,,,,,,,,,,,,,,,,,,
abf-4,0.1,0.3,0.3,0.2,1,0.1,0.3,0.5,0.6,7,,,,,,,,,,,,,,,
abf-5,4,3,13,0.4,27,12,20,13,1,4,19,0.2,0.6,0.1,4,33,12,0.4,,,,,,,
abf-6,29,0.1,12,17,0.3,123,16,20,17,2,4,24,0.1,0.3,3,0.1,4,27,0.1,21,0.4,,,,
abl-1,10,7,16,5,49,7,12,15,16,10,3,8,12,62,3,43,9,55,4,14,23,24,14,7,29
abt-1,0.4,0.1,0.2,1,0.9,0.4,0.1,0.1,0.1,0.4,2,0.1,13,,,,,,,,,,,,
abt-2,30,0.6,31,21,2,0.9,33,7,7,6,1,3,6,2,0.3,6,0.8,2,2,6,2,4,6,6,3
abt-3,0.1,0.1,0.4,0.1,0.1,0.2,13,,,,,,,,,,,,,,,,,,
abt-4,72,0.2,3,2,1,1,9,6,5,14,3,7,2,1,0.1,2,0.2,1,5,6,0.3,2,0.3,8,1
